#date,checker,turbidity,ph,chlorine,temperature,conductivity
"21:00:00,","도곡동(강남수도),",0.05,7.1,0.24,5.9,218.0
"21:00:00,","반포,",0.05,6.9,,6.1,240.0
"21:00:00,","내곡동(연간단가),",0.05,7.2,0.33,6.3,217.0
"21:00:00,","반포동(자이A),",0.04,7.0,0.36,4.8,199.0
"21:00:00,","방배동(청두공원),",,,,,
"21:00:00,","내곡,",0.04,7.0,0.35,8.3,219.0
"21:00:00,","우면동(품질시험소),",0.04,7.2,0.27,8.3,211.0
"21:00:00,","논현동(논현초교),",0.09,7.1,0.21,8.2,207.0
"21:00:00,","양재동(매헌초교),",,7.1,0.33,6.7,205.0
"21:00:00,","삼성,",0.02,7.0,,5.7,100.0
"21:00:00,","봉은,",0.05,7.1,0.4,7.3,223.0
"21:00:00,","수서,",0.02,7.0,0.34,5.7,100.0
"21:00:00,","자곡동(자곡증압),",0.04,7.2,0.37,3.9,224.0
"21:00:00,","삼성동(삼성증압),",0.04,7.2,0.33,5.4,237.0
"22:00:00,","서초,",0.04,7.1,0.37,,237.0
"22:00:00,","방배,",0.05,7.2,0.38,5.4,218.0
"22:00:00,","일원,",0.04,7.1,0.42,7.0,230.0
"22:00:00,","우면산,",0.02,,0.41,5.5,
"22:00:00,","도곡동(강남수도),",0.05,7.1,0.24,5.5,219.0
"22:00:00,","반포,",0.05,6.9,0.34,6.2,240.0
"22:00:00,",,0.05,7.2,0.36,6.3,218.0
"22:00:00,","반포동(자이A),",0.03,7.0,0.44,3.8,200.0
"22:00:00,","방배동(청두공원),",,,,,
"22:00:00,","내곡,",0.05,7.0,0.33,8.2,220.0
"22:00:00,","우면동(품질시험소),",0.04,7.2,0.26,8.2,211.0
"22:00:00,","논현동(논현초교),",0.1,7.2,0.21,7.4,207.0
"22:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.7,206.0
"22:00:00,","삼성,",0.02,,0.38,5.7,100.0
"22:00:00,","봉은,",0.05,7.1,0.4,7.3,224.0
"22:00:00,","수서,",0.02,7.0,0.35,5.7,100.0
"22:00:00,","자곡동(자곡증압),",0.04,7.2,0.37,3.9,225.0
"22:00:00,","삼성동(삼성증압),",0.04,7.1,0.33,5.3,239.0
"23:00:00,","서초,",0.04,,0.37,5.7,238.0
"23:00:00,","방배,",0.05,7.2,0.37,5.5,218.0
"23:00:00,","일원,",0.04,7.1,0.32,7.1,228.0
"23:00:00,","우면산,",0.02,7.2,,5.5,231.0
"23:00:00,","도곡동(강남수도),",0.05,7.1,0.23,5.3,218.0
"23:00:00,","반포,",0.05,6.9,0.34,6.2,240.0
"23:00:00,","내곡동(연간단가),",0.05,7.2,0.38,6.3,219.0
"23:00:00,","반포동(자이A),",0.03,7.0,0.44,3.8,201.0
"23:00:00,","방배동(청두공원),",,,,,
"23:00:00,","내곡,",0.04,7.0,0.35,8.2,219.0
"23:00:00,","우면동(품질시험소),",0.04,7.2,0.29,8.2,211.0
"23:00:00,","논현동(논현초교),",0.1,7.1,0.21,6.9,208.0
"23:00:00,","양재동(매헌초교),",0.11,7.1,0.33,6.5,206.0
